Group,Condition,Subject,Data
high,POST,06,0.2381365615596659
high,POST,07,0.21058261441973425
high,POST,08,0.2975160695961645
high,POST,09,0.19560171817889238
high,POST,10,0.16584405780719047
high,POST,11,0.18902231890592713
high,POST,13,0.40508659972321787
high,POST,14,0.38583019739578306
high,POST,15,0.2076439695908847
high,POST,16,0.20273894006704485
low,ROE,17,0.39664166905848164
low,ROE,18,0.4932937284965847
low,ROE,19,0.7680696017436595
low,ROE,20,0.34880261066193896
low,ROE,21,0.3230006811523033
low,ROE,22,0.34038182053506727
low,ROE,23,0.304171627473683
low,ROE,24,0.6179569072341007
low,ROE,25,0.3320686885144636
low,ROE,26,0.3376674155853916
low,ROE,27,0.31320743203078916
low,ROE,28,0.29645247466254177
low,ROE,29,0.46196452732722704
low,ROE,30,0.4814326910361323
low,ROE,31,0.6203826781117455
low,RCE,17,0.37244972964871925
low,RCE,18,0.5105523958692546
low,RCE,19,0.7514310700449728
low,RCE,20,0.3749743319364065
low,RCE,21,0.3247004108704308
low,RCE,22,0.3691849872742661
low,RCE,23,0.32081845507430873
low,RCE,24,0.5464603186547441
low,RCE,25,0.3458470078004503
low,RCE,26,0.3442908751809446
low,RCE,27,0.33575564877373976
low,RCE,28,0.3050213128746947
low,RCE,29,0.48216841105382025
low,RCE,30,0.45632081389658385
low,RCE,31,0.5599871327324937
low,IND1,17,0.39575631723514515
low,IND1,18,0.5097431307907274
low,IND1,19,0.7910292232457318
low,IND1,20,0.35535937162128584
low,IND1,21,0.3512082832045864
low,IND1,22,0.36182236367364873
low,IND1,23,0.3110788747919878
low,IND1,24,0.5481333545117291
low,IND1,25,0.35321327913812917
low,IND1,26,0.3435115716386722
low,IND1,27,0.32967136758401183
low,IND1,28,0.2919569314866698
low,IND1,29,0.5028039908349866
low,IND1,30,0.47128440225122525
low,IND1,31,0.46480895610719103
low,IND2,17,0.36015905808088755
low,IND2,18,0.5054421111649199
low,IND2,19,0.7916459322060304
low,IND2,20,0.35065933420125206
low,IND2,21,0.3141075633300703
low,IND2,22,0.35044203573417076
low,IND2,23,0.3249419035800347
low,IND2,24,0.5591579452122604
low,IND2,25,0.3537135527470191
low,IND2,26,0.340465854100523
low,IND2,27,0.32910872694653925
low,IND2,28,0.2933317059974705
low,IND2,29,0.4879933728447218
low,IND2,30,0.5150959030032465
low,IND2,31,0.6222252793428049
low,NH,17,0.38838110699983375
low,NH,18,0.5176309785897844
low,NH,19,0.7521413308123508
low,NH,20,0.33694882501466605
low,NH,21,0.31620364084278685
low,NH,22,0.33618710120183404
low,NH,23,0.3108603693494719
low,NH,24,0.5428131896059694
low,NH,25,0.3428709203960616
low,NH,26,0.313524102999421
low,NH,27,0.3125946681983375
low,NH,28,0.29202170799839433
low,NH,29,0.5284435629254094
low,NH,30,0.5127586403060482
low,NH,31,0.5806295476296106
low,POST,17,0.4119385995957102
low,POST,18,0.5016405665214728
low,POST,19,0.6539479245182249
low,POST,20,0.3221124847996534
low,POST,21,0.32310218450090933
low,POST,22,0.3640952433396212
low,POST,23,0.32770279252656187
low,POST,24,0.689543263597652
low,POST,25,0.3915316008288623
low,POST,26,0.34885361651250546
low,POST,27,0.3369959140761324
low,POST,28,0.3274748145793793
low,POST,29,0.4194312008942218
low,POST,30,0.4847381523521048
low,POST,31,0.5694154604008179
