Group,Condition,Subject_i,Subject_j,Window_i,Window_j,Distance,Subject_ij
high,ROE,02,07,0,0,4.468540103198849,"('02', '07')"
high,ROE,02,08,0,0,7.61434380759588,"('02', '08')"
high,ROE,02,09,0,0,5.034773823276228,"('02', '09')"
high,ROE,02,10,0,0,7.959131705633261,"('02', '10')"
high,ROE,02,11,0,0,7.498686550245281,"('02', '11')"
high,ROE,02,13,0,0,6.9033984179329755,"('02', '13')"
high,ROE,02,14,0,0,5.5809597706168494,"('02', '14')"
high,ROE,02,15,0,0,6.717385146856196,"('02', '15')"
high,ROE,02,16,0,0,9.431967129623859,"('02', '16')"
high,ROE,02,01,1,1,7.253059589737322,"('02', '01')"
high,ROE,02,02,1,1,0.0,"('02', '02')"
high,ROE,02,03,1,1,7.096104786231834,"('02', '03')"
high,ROE,02,04,1,1,7.129904392172736,"('02', '04')"
high,ROE,02,05,1,1,8.728817272249282,"('02', '05')"
high,ROE,02,06,1,1,5.391344763367112,"('02', '06')"
high,ROE,02,07,1,1,6.132133811908422,"('02', '07')"
high,ROE,02,08,1,1,8.989023452140485,"('02', '08')"
high,ROE,02,09,1,1,5.432268815040799,"('02', '09')"
high,ROE,02,10,1,1,9.075090291392463,"('02', '10')"
high,ROE,02,11,1,1,7.207859419566436,"('02', '11')"
high,ROE,02,13,1,1,7.4894933442976255,"('02', '13')"
high,ROE,02,14,1,1,5.649820139905731,"('02', '14')"
high,ROE,02,15,1,1,7.866229908360434,"('02', '15')"
high,ROE,02,16,1,1,7.023154241014703,"('02', '16')"
high,ROE,02,01,2,2,6.872214391384481,"('02', '01')"
high,ROE,02,02,2,2,0.0,"('02', '02')"
high,ROE,02,03,2,2,6.491128319218413,"('02', '03')"
high,ROE,02,04,2,2,7.28768600979571,"('02', '04')"
high,ROE,02,05,2,2,7.009330784544508,"('02', '05')"
high,ROE,02,06,2,2,3.8486859377034808,"('02', '06')"
high,ROE,02,07,2,2,5.235120863977736,"('02', '07')"
high,ROE,02,08,2,2,7.475171836938597,"('02', '08')"
high,ROE,02,09,2,2,5.221545249184129,"('02', '09')"
high,ROE,02,10,2,2,6.947592654467104,"('02', '10')"
high,ROE,02,11,2,2,6.557008624575271,"('02', '11')"
high,ROE,02,13,2,2,5.985766437859545,"('02', '13')"
high,ROE,02,14,2,2,7.616531687064386,"('02', '14')"
high,ROE,02,15,2,2,6.278816801622162,"('02', '15')"
high,ROE,02,16,2,2,6.983673325396504,"('02', '16')"
high,ROE,02,01,3,3,8.06995779205914,"('02', '01')"
high,ROE,02,02,3,3,0.0,"('02', '02')"
high,ROE,02,03,3,3,5.731103279355344,"('02', '03')"
high,ROE,02,04,3,3,6.430347929586445,"('02', '04')"
high,ROE,02,05,3,3,7.621222705091356,"('02', '05')"
high,ROE,02,06,3,3,4.9291941681550355,"('02', '06')"
high,ROE,02,07,3,3,6.404793019551839,"('02', '07')"
high,ROE,02,08,3,3,7.786411597986734,"('02', '08')"
high,ROE,02,09,3,3,4.596804300092065,"('02', '09')"
high,ROE,02,10,3,3,7.4592801701408895,"('02', '10')"
high,ROE,02,11,3,3,7.708336412436294,"('02', '11')"
high,ROE,02,13,3,3,5.349433978627554,"('02', '13')"
high,ROE,02,14,3,3,10.071960545557696,"('02', '14')"
high,ROE,02,15,3,3,7.283515793884323,"('02', '15')"
high,ROE,02,16,3,3,6.974437368807006,"('02', '16')"
high,ROE,02,01,4,4,7.1669428822182955,"('02', '01')"
high,ROE,02,02,4,4,0.0,"('02', '02')"
high,ROE,02,03,4,4,4.096382288933597,"('02', '03')"
high,ROE,02,04,4,4,6.758738061307198,"('02', '04')"
high,ROE,02,05,4,4,4.8964408561897885,"('02', '05')"
high,ROE,02,06,4,4,4.3082902634006315,"('02', '06')"
high,ROE,02,07,4,4,5.68806395704514,"('02', '07')"
high,ROE,02,08,4,4,6.963126082327848,"('02', '08')"
high,ROE,02,09,4,4,3.857725327745911,"('02', '09')"
high,ROE,02,10,4,4,7.258308624367504,"('02', '10')"
high,ROE,02,11,4,4,6.815789345023103,"('02', '11')"
high,ROE,02,13,4,4,4.804494910432274,"('02', '13')"
high,ROE,02,14,4,4,8.443666542996988,"('02', '14')"
high,ROE,02,15,4,4,5.652259024671433,"('02', '15')"
high,ROE,02,16,4,4,6.2178652685095015,"('02', '16')"
high,ROE,02,01,5,5,7.698319449600732,"('02', '01')"
